Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-23,Ghost,5,Set2
2,4,2026-04-23,Chalk Dust Torture,4,Set1
2,4,2026-04-23,Stash,4,Set1
2,4,2026-04-23,Piper,3,Set2
2,4,2026-04-23,Harry Hood,5,Encore
2,4,2026-04-23,Also Sprach Zarathustra,4,Set2
2,4,2026-04-23,Tube,3,Set1
2,5,2026-04-24,Fluffhead,5,Set2
2,5,2026-04-24,David Bowie,4,Set2
2,5,2026-04-24,Run Like an Antelope,5,Set2
2,5,2026-04-24,A Song I Heard the Ocean Sing,4,Set1
2,5,2026-04-24,Quinn the Eskimo,3,Encore
2,5,2026-04-24,Light,4,Set1
2,6,2026-04-25,Maze,4,Set1
2,6,2026-04-25,Rift,3,Set1
2,6,2026-04-25,Tweezer,5,Set2
2,6,2026-04-25,Slave to the Traffic Light,4,Encore
2,6,2026-04-25,The Lizards,3,Set1
2,6,2026-04-25,Waste,4,Set2
2,6,2026-04-25,Joy,3,Set2
