Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-24,Ghost,5,Set2
2,4,2026-04-24,Chalk Dust Torture,4,Set1
2,4,2026-04-24,Stash,4,Set1
2,4,2026-04-24,Piper,3,Set2
2,4,2026-04-24,Harry Hood,5,Encore
2,4,2026-04-24,Also Sprach Zarathustra,4,Set2
2,4,2026-04-24,Tube,3,Set1
2,5,2026-04-25,Fluffhead,5,Set2
2,5,2026-04-25,David Bowie,4,Set2
2,5,2026-04-25,Run Like an Antelope,5,Set2
2,5,2026-04-25,A Song I Heard the Ocean Sing,4,Set1
2,5,2026-04-25,Quinn the Eskimo,3,Encore
2,5,2026-04-25,Light,4,Set1
2,6,2026-04-26,Maze,4,Set1
2,6,2026-04-26,Rift,3,Set1
2,6,2026-04-26,Tweezer,5,Set2
2,6,2026-04-26,Slave to the Traffic Light,4,Encore
2,6,2026-04-26,The Lizards,3,Set1
2,6,2026-04-26,Waste,4,Set2
2,6,2026-04-26,Joy,3,Set2
