Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
1,1,2026-04-16,Free,4,Set1
1,1,2026-04-16,Back on the Train,3,Set1
1,1,2026-04-16,Stash,4,Set1
1,1,2026-04-16,Bathtub Gin,4,Set1
1,1,2026-04-16,Divided Sky,3,Set1
1,1,2026-04-16,Theme From the Bottom,3,Set1
1,1,2026-04-16,Ghost,4,Set2
1,1,2026-04-16,Mercury,3,Set2
1,1,2026-04-16,Oblivion,4,Set2
1,1,2026-04-16,Simple,3,Set2
1,1,2026-04-16,You Enjoy Myself,4,Set2
1,1,2026-04-16,Run Like an Antelope,4,Encore
1,2,2026-04-17,AC/DC Bag,4,Set1
1,2,2026-04-17,Roggae,3,Set1
1,2,2026-04-17,The Moma Dance,4,Set1
1,2,2026-04-17,Waves,3,Set1
1,2,2026-04-17,Sand,4,Set1
1,2,2026-04-17,My Friend, My Friend,3,Set1
1,2,2026-04-17,Tweezer,5,Set2
1,2,2026-04-17,Twist,4,Set2
1,2,2026-04-17,Seven Below,3,Set2
1,2,2026-04-17,Light,4,Set2
1,2,2026-04-17,Chalk Dust Torture,4,Set2
1,2,2026-04-17,Farmhouse,3,Encore
1,3,2026-04-18,Set Your Soul Free,4,Set1
1,3,2026-04-18,Tube,3,Set1
1,3,2026-04-18,Kill Devil Falls,4,Set1
1,3,2026-04-18,Evolve,3,Set1
1,3,2026-04-18,Hey Stranger,4,Set1
1,3,2026-04-18,Cities,3,Set1
1,3,2026-04-18,Sigma Oasis,4,Set2
1,3,2026-04-18,Down With Disease,5,Set2
1,3,2026-04-18,Beneath a Sea of Stars Part 1,3,Set2
1,3,2026-04-18,Piper,4,Set2
1,3,2026-04-18,First Tube,4,Set2
1,3,2026-04-18,Good Times Bad Times,4,Encore
