Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
3,7,2026-04-30,Fluffhead,4,Set1
3,7,2026-04-30,Chalk Dust Torture,4,Set1
3,7,2026-04-30,Julius,3,Set1
3,7,2026-04-30,Undermind,3,Set1
3,7,2026-04-30,Sand,4,Set2
3,7,2026-04-30,Piper,3,Set2
3,7,2026-04-30,Ruby Waves,3,Set2
3,7,2026-04-30,Character Zero,3,Encore
3,7,2026-04-30,Good Times Bad Times,3,Encore
3,8,2026-05-01,Sample in a Jar,3,Set1
3,8,2026-05-01,Wolfman's Brother,3,Set1
3,8,2026-05-01,Guelah Papyrus,3,Set1
3,8,2026-05-01,Slave to the Traffic Light,4,Set2
3,8,2026-05-01,Boogie On Reggae Woman,3,Set2
3,8,2026-05-01,Plasma,3,Set2
3,8,2026-05-01,Harry Hood,4,Set2
3,8,2026-05-01,Cavern,3,Encore
3,9,2026-05-02,Blaze On,3,Set1
3,9,2026-05-02,Stash,4,Set1
3,9,2026-05-02,Lawn Boy,3,Set1
3,9,2026-05-02,Fuego,3,Set2
3,9,2026-05-02,Roses Are Free,3,Set2
3,9,2026-05-02,Drowned,3,Set2
3,9,2026-05-02,Run Like an Antelope,4,Set2
3,9,2026-05-02,First Tube,3,Encore
