Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
3,7,2026-04-30,Wilson,4,Set1
3,7,2026-04-30,Punch You In The Eye,3,Set1
3,7,2026-04-30,Back on the Train,4,Set1
3,7,2026-04-30,Sample in a Jar,3,Set1
3,7,2026-04-30,Sand,4,Set2
3,7,2026-04-30,Crosseyed and Painless,3,Set2
3,7,2026-04-30,Pillow Jets,4,Set2
3,7,2026-04-30,The Howling,3,Set2
3,7,2026-04-30,Julius,4,Encore
3,8,2026-05-01,Runaway Jim,4,Set1
3,8,2026-05-01,Golgi Apparatus,3,Set1
3,8,2026-05-01,Fluffhead,4,Set1
3,8,2026-05-01,David Bowie,4,Set2
3,8,2026-05-01,Soul Planet,3,Set2
3,8,2026-05-01,A Song I Heard the Ocean Sing,4,Set2
3,8,2026-05-01,Farmhouse,3,Set2
3,8,2026-05-01,Good Times Bad Times,3,Encore
3,9,2026-05-02,Llama,4,Set1
3,9,2026-05-02,My Friend, My Friend,3,Set1
3,9,2026-05-02,Meatstick,3,Set1
3,9,2026-05-02,Petrichor,5,Set2
3,9,2026-05-02,No Quarter,3,Set2
3,9,2026-05-02,Character Zero,5,Set2
3,9,2026-05-02,Loving Cup,3,Set2
3,9,2026-05-02,Sparkle,3,Set2
3,9,2026-05-02,The Squirming Coil,4,Encore
3,9,2026-05-02,Show of Life,3,Encore
