Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
3,7,Apr 30,Wilson,4,Set1
3,7,Apr 30,David Bowie,5,Set1
3,7,Apr 30,Back on the Train,4,Set1
3,7,Apr 30,Prince Caspian,4,Set1
3,7,Apr 30,Sand,5,Set2
3,7,Apr 30,A Song I Heard the Ocean Sing,4,Set2
3,7,Apr 30,Farmhouse,4,Set2
3,7,Apr 30,Fluffhead,3,Set2
3,7,Apr 30,Wading in the Velvet Sea,3,Set2
3,8,May 1,Character Zero,5,Set1
3,8,May 1,Ruby Waves,4,Set1
3,8,May 1,Bouncing Around the Room,3,Set1
3,8,May 1,Julius,4,Set1
3,8,May 1,Roses Are Free,4,Set2
3,8,May 1,My Friend My Friend,3,Set2
3,8,May 1,Lawn Boy,3,Set2
3,8,May 1,Silent in the Morning,3,Set2
3,9,May 2,Runaway Jim,4,Set1
3,9,May 2,The Squirming Coil,4,Set1
3,9,May 2,Llama,3,Set1
3,9,May 2,The Wedge,3,Set1
3,9,May 2,The Horse,3,Set2
3,9,May 2,Loving Cup,4,Set2
3,9,May 2,Boogie On Reggae Woman,3,Set2
3,9,May 2,Mound,3,Set2

