Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-23,Ghost,5,Set1
2,4,2026-04-23,Chalk Dust Torture,4,Set1
2,4,2026-04-23,Possum,4,Set1
2,4,2026-04-23,The Moma Dance,4,Set1
2,4,2026-04-23,Prince Caspian,3,Set1
2,4,2026-04-23,Set Your Soul Free,4,Set2
2,4,2026-04-23,Sand,5,Set2
2,4,2026-04-23,Slave to the Traffic Light,4,Encore
2,5,2026-04-24,David Bowie,4,Set1
2,5,2026-04-24,Blaze On,4,Set1
2,5,2026-04-24,Piper,4,Set1
2,5,2026-04-24,Character Zero,4,Set1
2,5,2026-04-24,Farmhouse,3,Set2
2,5,2026-04-24,Ruby Waves,3,Set2
2,5,2026-04-24,Fluffhead,3,Set2
2,5,2026-04-24,First Tube,4,Set2
2,6,2026-04-25,Maze,3,Set1
2,6,2026-04-25,Stash,3,Set1
2,6,2026-04-25,Wilson,3,Set1
2,6,2026-04-25,Back on the Train,3,Set1
2,6,2026-04-25,A Song I Heard the Ocean Sing,3,Set2
2,6,2026-04-25,Lonely Trip,3,Set2
2,6,2026-04-25,Wading in the Velvet Sea,3,Set2
2,6,2026-04-25,More,4,Encore512msExpert
