Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,Thu Apr 24,Ghost,5,Set1
2,4,Thu Apr 24,Chalk Dust Torture,4,Set1
2,4,Thu Apr 24,Possum,4,Set1
2,4,Thu Apr 24,The Moma Dance,4,Set1
2,4,Thu Apr 24,Prince Caspian,3,Set1
2,4,Thu Apr 24,Set Your Soul Free,4,Set2
2,4,Thu Apr 24,Sand,5,Set2
2,4,Thu Apr 24,Slave to the Traffic Light,4,Encore
2,5,Fri Apr 25,David Bowie,4,Set1
2,5,Fri Apr 25,Blaze On,4,Set1
2,5,Fri Apr 25,Piper,4,Set1
2,5,Fri Apr 25,Character Zero,4,Set1
2,5,Fri Apr 25,Farmhouse,3,Set2
2,5,Fri Apr 25,Ruby Waves,3,Set2
2,5,Fri Apr 25,Fluffhead,3,Set2
2,5,Fri Apr 25,First Tube,4,Set2
2,6,Sat Apr 26,Maze,3,Set1
2,6,Sat Apr 26,Stash,3,Set1
2,6,Sat Apr 26,Wilson,3,Set1
2,6,Sat Apr 26,Back on the Train,3,Set1
2,6,Sat Apr 26,A Song I Heard the Ocean Sing,3,Set2
2,6,Sat Apr 26,Lonely Trip,3,Set2
2,6,Sat Apr 26,Wading in the Velvet Sea,3,Set2
2,6,Sat Apr 26,More,4,Encore512msExpert
