Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
3,7,2026-04-30,Wilson,4,Set1
3,7,2026-04-30,Stash,4,Set1
3,7,2026-04-30,Rift,3,Set1
3,7,2026-04-30,Halley's Comet,4,Set1
3,7,2026-04-30,Reba,3,Set1
3,7,2026-04-30,Tweezer,5,Set2
3,7,2026-04-30,Simple,4,Set2
3,7,2026-04-30,Ghost,4,Set2
3,7,2026-04-30,Harry Hood,4,Set2
3,7,2026-04-30,First Tube,4,Encore
3,8,2026-05-01,Carini,5,Set1
3,8,2026-05-01,Free,4,Set1
3,8,2026-05-01,Theme From the Bottom,3,Set1
3,8,2026-05-01,Foam,3,Set1
3,8,2026-05-01,Ya Mar,3,Set1
3,8,2026-05-01,Down with Disease,4,Set2
3,8,2026-05-01,Light,4,Set2
3,8,2026-05-01,Piper,4,Set2
3,8,2026-05-01,You Enjoy Myself,4,Set2
3,8,2026-05-01,Tweezer Reprise,4,Encore
3,9,2026-05-02,AC/DC Bag,4,Set1
3,9,2026-05-02,Moma Dance,3,Set1
3,9,2026-05-02,Divided Sky,4,Set1
3,9,2026-05-02,Tube,3,Set1
3,9,2026-05-02,Bathtub Gin,4,Set1
3,9,2026-05-02,Blaze On,4,Set2
3,9,2026-05-02,Twist,4,Set2
3,9,2026-05-02,Tweezer,5,Set2
3,9,2026-05-02,Waste,3,Set2
3,9,2026-05-02,Harry Hood,4,Encore
