Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
3,7,2026-04-30,Fluffhead,5,Set1
3,7,2026-04-30,Punch You in the Eye,4,Set1
3,7,2026-04-30,Kill Devil Falls,3,Set1
3,7,2026-04-30,Back on the Train,3,Set1
3,7,2026-04-30,Sand,5,Set2
3,7,2026-04-30,A Wave of Hope,5,Set2
3,7,2026-04-30,Prince Caspian,4,Set2
3,7,2026-04-30,The Squirming Coil,3,Encore
3,8,2026-05-01,Plasma,5,Set1
3,8,2026-05-01,My Friend, My Friend,4,Set1
3,8,2026-05-01,Taste,4,Set1
3,8,2026-05-01,NICU,3,Set1
3,8,2026-05-01,Ruby Waves,5,Set2
3,8,2026-05-01,Mr. Completely,4,Set2
3,8,2026-05-01,Seven Below,3,Set2
3,8,2026-05-01,Farmhouse,3,Encore
3,8,2026-05-01,Character Zero,4,Encore
3,9,2026-05-02,Wilson,4,Set1
3,9,2026-05-02,Runaway Jim,4,Set1
3,9,2026-05-02,Llama,3,Set1
3,9,2026-05-02,Julius,4,Set1
3,9,2026-05-02,David Bowie,5,Set2
3,9,2026-05-02,2001,4,Set2
3,9,2026-05-02,The Wedge,3,Set2
3,9,2026-05-02,Leaves,3,Set2
3,9,2026-05-02,Slave to the Traffic Light,3,Set2
3,9,2026-05-02,You Enjoy Myself,3,Encore
