Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-24,Chalk Dust Torture,4,Set1
2,4,2026-04-24,Stash,4,Set2
2,4,2026-04-24,Slave to the Traffic Light,4,Set2
2,4,2026-04-24,Possum,3,Set1
2,4,2026-04-24,Julius,3,Set1
2,4,2026-04-24,Piper,3,Set2
2,4,2026-04-24,Golden Age,3,Set2
2,4,2026-04-24,Character Zero,3,Encore
2,5,2026-04-25,Fluffhead,4,Set1
2,5,2026-04-25,Sand,4,Set2
2,5,2026-04-25,Blaze On,3,Set1
2,5,2026-04-25,Fuego,3,Set1
2,5,2026-04-25,Architect,3,Set2
2,5,2026-04-25,Ruby Waves,3,Set2
2,5,2026-04-25,First Tube,3,Set2
2,5,2026-04-25,Good Times Bad Times,3,Encore
2,6,2026-04-26,Run Like an Antelope,3,Set2
2,6,2026-04-26,Undermind,3,Set1
2,6,2026-04-26,Plasma,3,Set2
2,6,2026-04-26,Sample in a Jar,3,Set1
2,6,2026-04-26,Wolfman's Brother,2,Set1
2,6,2026-04-26,Boogie On Reggae Woman,3,Set2
2,6,2026-04-26,Fee,2,Set1
2,6,2026-04-26,Cavern,3,Encore
