Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
3,7,2026-04-30,Fluffhead,5,Set2
3,7,2026-04-30,David Bowie,4,Set2
3,7,2026-04-30,Run Like an Antelope,5,Set2
3,7,2026-04-30,Sand,4,Set1
3,7,2026-04-30,Meatstick,3,Set1
3,7,2026-04-30,Simple,4,Set1
3,7,2026-04-30,First Tube,3,Encore
3,8,2026-05-01,Tahoe Tweeker,4,Set1
3,8,2026-05-01,Twist,3,Set1
3,8,2026-05-01,Mike's Song,5,Set2
3,8,2026-05-01,I Am Hydrogen,4,Set2
3,8,2026-05-01,Weekapaug Groove,5,Set2
3,8,2026-05-01,Wading in the Velvet Sea,4,Set2
3,8,2026-05-01,Rock and Roll,3,Encore
3,9,2026-05-02,Chalk Dust Torture,5,Set1
3,9,2026-05-02,Ghost,5,Set2
3,9,2026-05-02,Piper,4,Set2
3,9,2026-05-02,Tweezer,5,Set2
3,9,2026-05-02,Harry Hood,4,Encore
3,9,2026-05-02,Contact,3,Encore
