Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-24,Set Your Soul Free,4,Set1
2,4,2026-04-24,Tube,4,
2,4,2026-04-24,Stash,4,
2,4,2026-04-24,Pillow Jets,3,
2,4,2026-04-24,Taste,3,
2,4,2026-04-24,46 Days,4,
2,4,2026-04-24,Fuego,4,Set2
2,4,2026-04-24,Golden Age,4,
2,4,2026-04-24,Say It to Me S.A.N.T.O.S.,3,Encore
2,5,2026-04-25,Plasma,4,Set1
2,5,2026-04-25,Ghost,5,
2,5,2026-04-25,Shade,2,
2,5,2026-04-25,Character Zero,3,
2,5,2026-04-25,A Wave of Hope,4,Set2
2,5,2026-04-25,Mercury,4,
2,5,2026-04-25,Ruby Waves,4,
2,5,2026-04-25,Prince Caspian,3,
2,5,2026-04-25,Slave to the Traffic Light,4,Encore
2,6,2026-04-26,Fluffhead,4,Set1
2,6,2026-04-26,Halley's Comet,4,
2,6,2026-04-26,Julius,3,
2,6,2026-04-26,My Friend, My Friend,3,
2,6,2026-04-26,Vultures,2,
2,6,2026-04-26,Waves,4,Set2
2,6,2026-04-26,Piper,3,
2,6,2026-04-26,What's the Use?,3,
2,6,2026-04-26,First Tube,3,Encore
