Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-23,Wilson,4,Set1
2,4,2026-04-23,The Moma Dance,4,Set1
2,4,2026-04-23,Stash,3,Set1
2,4,2026-04-23,Back on the Train,3,Set1
2,4,2026-04-23,Ghost,5,Set2
2,4,2026-04-23,Chalk Dust Torture,5,Set2
2,4,2026-04-23,The Howling,3,Set2
2,4,2026-04-23,Character Zero,5,Encore
2,5,2026-04-24,Fluffhead,4,Set1
2,5,2026-04-24,Possum,3,Set1
2,5,2026-04-24,The Curtain With,3,Set1
2,5,2026-04-24,Llama,3,Set1
2,5,2026-04-24,Mercury,3,Set2
2,5,2026-04-24,Sand,4,Set2
2,5,2026-04-24,A Song I Heard the Ocean Sing,3,Set2
2,5,2026-04-24,Cavern,4,Encore
2,6,2026-04-25,Maze,3,Set1
2,6,2026-04-25,Funky Bitch,3,Set1
2,6,2026-04-25,Camel Walk,3,Set1
2,6,2026-04-25,David Bowie,3,Set1
2,6,2026-04-25,Golden Age,3,Set2
2,6,2026-04-25,Waves,3,Set2
2,6,2026-04-25,Slave to the Traffic Light,4,Set2
2,6,2026-04-25,First Tube,4,Encore
