Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-24,Wilson,4,Set1
2,4,2026-04-24,The Moma Dance,4,Set1
2,4,2026-04-24,Stash,3,Set1
2,4,2026-04-24,Back on the Train,3,Set1
2,4,2026-04-24,Ghost,5,Set2
2,4,2026-04-24,Chalk Dust Torture,5,Set2
2,4,2026-04-24,The Howling,3,Set2
2,4,2026-04-24,Character Zero,5,Encore
2,5,2026-04-25,Fluffhead,4,Set1
2,5,2026-04-25,Possum,3,Set1
2,5,2026-04-25,The Curtain With,3,Set1
2,5,2026-04-25,Llama,3,Set1
2,5,2026-04-25,Mercury,3,Set2
2,5,2026-04-25,Sand,4,Set2
2,5,2026-04-25,A Song I Heard the Ocean Sing,3,Set2
2,5,2026-04-25,Cavern,4,Encore
2,6,2026-04-26,Maze,3,Set1
2,6,2026-04-26,Funky Bitch,3,Set1
2,6,2026-04-26,Camel Walk,3,Set1
2,6,2026-04-26,David Bowie,3,Set1
2,6,2026-04-26,Golden Age,3,Set2
2,6,2026-04-26,Waves,3,Set2
2,6,2026-04-26,Slave to the Traffic Light,4,Set2
2,6,2026-04-26,First Tube,4,Encore
