Weekend_Number,Show_Number,Show_Date,Song_Title,Confidence,Set_Placement
2,4,2026-04-24,Axilla Part II,4,Set1
2,4,2026-04-24,Chalk Dust Torture,5,Set1
2,4,2026-04-24,The Moma Dance,4,Set1
2,4,2026-04-24,Maze,4,Set1
2,4,2026-04-24,Plasma,3,Set1
2,4,2026-04-24,Ghost,4,Set2
2,4,2026-04-24,Waves,3,Set2
2,4,2026-04-24,Golden Age,3,Set2
2,4,2026-04-24,Twist,4,Set2
2,4,2026-04-24,First Tube,4,Set2
2,4,2026-04-24,Farmhouse,3,Encore
2,5,2026-04-25,Carini,5,Set1
2,5,2026-04-25,Back on the Train,4,Set1
2,5,2026-04-25,Piper,4,Set1
2,5,2026-04-25,Rift,3,Set1
2,5,2026-04-25,Steam,4,Set1
2,5,2026-04-25,Simple,4,Set2
2,5,2026-04-25,Light,4,Set2
2,5,2026-04-25,Ruby Waves,4,Set2
2,5,2026-04-25,No Men In No Man's Land,3,Set2
2,5,2026-04-25,The Squirming Coil,3,Encore
2,6,2026-04-26,Free,4,Set1
2,6,2026-04-26,The Sloth,3,Set1
2,6,2026-04-26,Pillow Jets,4,Set1
2,6,2026-04-26,Stash,4,Set1
2,6,2026-04-26,Evolve,3,Set1
2,6,2026-04-26,Tweezer,5,Set2
2,6,2026-04-26,Psycho Killer,2,Set2
2,6,2026-04-26,Sand,4,Set2
2,6,2026-04-26,Harry Hood,4,Set2
2,6,2026-04-26,The Mango Song,3,Encore
